"","days_trade","days_year","price","total","daily_return"
"1958-06-27",252,365,2.52794246495752,12.6547823178362,0.00144744038557221
"1958-06-28",NA,365,2.53372654149027,12.6851205867851,0.00239737580519805
"1958-06-29",NA,365,2.54137100524895,12.7247793727058,0.0031264019643682
"1958-06-30",252,365,2.54708502163034,12.7547405557657,0.00235455422701603
"1958-07-01",252,365,2.54933692288262,12.7673711195914,0.000990264268449614
"1958-07-02",252,365,2.55158903890851,12.7800052958358,0.000989567556708648
"1958-07-03",252,365,2.56003436661878,12.8236616121679,0.00341598577790214
"1958-07-04",NA,365,2.56570453843643,12.8534257952452,0.00232103622018776
"1958-07-05",NA,365,2.56973091365459,12.874961208462,0.00167546096736415
"1958-07-06",NA,365,2.57121866122303,12.8837819191862,0.000685105809745457
"1958-07-07",252,365,2.56847947955544,12.8714241924935,-0.00095916919195238
"1958-07-08",252,365,2.55609327096028,12.8107195381676,-0.00471623445999436
"1958-07-09",252,365,2.54764794325001,12.7697528662047,-0.00319784316882976
"1958-07-10",252,365,2.55721911419962,12.819082685855,0.0038630206995518
"1958-07-11",252,365,2.57410976962016,12.9051146565744,0.00671124235857268
"1958-07-12",NA,365,2.56600320872717,12.865842938699,-0.0030431126666034
"1958-07-13",NA,365,2.55013278788584,12.7876350241437,-0.00607872448994873
"1958-07-14",252,365,2.54145473156562,12.7454764031167,-0.00329682704795642
"1958-07-15",252,365,2.53976575193301,12.7383591136419,-0.000558416904136272
"1958-07-16",252,365,2.54764794325001,12.7792449947473,0.00320966623257291
"1958-07-17",252,365,2.56453838389694,12.8653256373613,0.00673597248110402
"1958-07-18",252,365,2.57692480726571,12.9288293898934,0.00493603926725994
"1958-07-19",NA,365,2.58860861119818,12.9888212981046,0.0046401655093502
"1958-07-20",NA,365,2.59969780672595,13.0458422120538,0.00438999911081206
"1958-07-21",252,365,2.6084537873073,13.0911664866003,0.00347423139186964
"1958-07-22",252,365,2.61295780458547,13.115160698317,0.00183285513489428
"1958-07-23",252,365,2.6123948829658,13.1137274794465,-0.000109279550854602
"1958-07-24",252,365,2.62647028596718,13.1857754252753,0.00549408594479961
"1958-07-25",252,365,2.64448678462706,13.277624122207,0.0069657410329953
"1958-07-26",NA,365,2.6517604610881,13.3155537928299,0.00285666097141046
"1958-07-27",NA,365,2.65568140040565,13.3366559169358,0.00158477254751666
"1958-07-28",252,365,2.65462109196995,13.3327468721477,-0.000293105319089326
"1958-07-29",252,365,2.64392364823379,13.2804346527472,-0.00392358903248535
"1958-07-30",252,365,2.65124291793112,13.3186091472137,0.0028744913449481
"1958-07-31",252,365,2.65687299322223,13.3482671931794,0.0022268125476117
"1958-08-01",252,365,2.67376364864277,13.4345049518452,0.00646059577753988
"1958-08-02",NA,365,2.68605090437658,13.497630230501,0.00469874244581847
"1958-08-03",NA,365,2.69601045258706,13.5490714475751,0.00381112952390339
"1958-08-04",252,365,2.69909920222637,13.5659932358069,0.0012489260461277
"1958-08-05",252,365,2.68840197326382,13.5136284059815,-0.00386000707173739
"1958-08-06",252,365,2.67207445423655,13.4329511556839,-0.00597006576427306
"1958-08-07",252,365,2.68952803127676,13.5220800918344,0.00663509716648281
"1958-08-08",252,365,2.70529241391076,13.6027345064008,0.00596464552928233
"1958-08-09",NA,365,2.71100014030048,13.6328385681138,0.00221308897110872
"1958-08-10",NA,365,2.71323044656663,13.6454617513389,0.000925939463154224
"1958-08-11",252,365,2.71148562559514,13.6380955632232,-0.000539826958577794
"1958-08-12",252,365,2.68727591525088,13.51773492447,-0.00882532595517282
"1958-08-13",252,365,2.69178014730265,13.541788178101,0.0017793849165828
"1958-08-14",252,365,2.69741022259376,13.5715101348506,0.0021948324961798
"1958-08-15",252,365,2.67432657026244,13.456770380815,-0.00845445738134964
"1958-08-16",NA,365,2.66507903202278,13.411627729331,-0.00335464232550142
"1958-08-17",NA,365,2.65938311732455,13.3843486313241,-0.00203398860730564
"1958-08-18",252,365,2.65856218762844,13.3815989515836,-0.000205439937063234
"1958-08-19",252,365,2.66306620490661,13.4056511333523,0.00179740716006616
"1958-08-20",252,365,2.66419226291955,13.412703772737,0.000526094504065711
"1958-08-21",252,365,2.68164583995977,13.501957564721,0.00665442206853495
"1958-08-22",252,365,2.68727591525088,13.5316988244159,0.00220273686628802
"1958-08-23",NA,365,2.68834273156178,13.538467919349,0.000500239845783623
"1958-08-24",NA,365,2.68667600295533,13.5314721619559,-0.000516731836632589
"1958-08-25",252,365,2.68783905164415,13.5387270183798,0.000536146868363119
"1958-08-26",252,365,2.69684730097409,13.5854997425762,0.00345473574678845
"1958-08-27",252,365,2.69741022259376,13.5897382155001,0.000311985057907416
"1958-08-28",252,365,2.68333481959238,13.520228532599,-0.0051148654815022
"1958-08-29",252,365,2.68840197326382,13.5471558394486,0.00199163104267486
"1958-08-30",NA,365,2.6924665605934,13.5690365147409,0.00161514900630366
"1958-08-31",NA,365,2.69543967476451,13.5853743288465,0.00120405115631228
"1958-09-01",NA,365,2.69798903146721,13.5995794737037,0.00104562042335088
"1958-09-02",252,365,2.7024773762652,13.6235610501746,0.00176340573745515
"1958-09-03",252,365,2.71261168360808,13.6760093505337,0.00384982312377802
"1958-09-04",252,365,2.70810745155631,13.6546657327596,-0.00156066124459353
"1958-09-05",252,365,2.70078839663259,13.6191249738839,-0.00260282892099217
"1958-09-06",NA,365,2.69972252942563,13.6151095978463,-0.000294833628835645
"1958-09-07",NA,365,2.70303691985553,13.6331835869679,0.0013274949416795
"1958-09-08",252,365,2.70979664596253,13.668638128417,0.00260060617705316
"1958-09-09",252,365,2.72837606624208,13.7637199896144,0.00695620590025237
"1958-09-10",252,365,2.71993095330541,13.7224911459706,-0.00299547242132825
"1958-09-11",252,365,2.73851037358496,13.8175970580313,0.00693065938604209
"1958-09-12",252,365,2.73231716190057,13.7877274345455,-0.0021617089686703
"1958-09-13",NA,365,2.73472791328005,13.8012687338512,0.000982126994458987
"1958-09-14",NA,365,2.74392664836691,13.8490693102977,0.00346349146359803
"1958-09-15",252,365,2.75652687224484,13.9140471747404,0.00469185784162129
"1958-09-16",252,365,2.77848446656322,14.0262707931488,0.00806549072308216
"1958-09-17",252,365,2.77848446656322,14.0276708501377,9.98167659491678e-05
"1958-09-18",252,365,2.78017366096943,14.0375992439621,0.00070777208351358
